"ARS","Name","Bundesland","Ostdeutschland","Bev_Tausend","Abitur_Quote","OhneAbschl_Quote","Abitur_GenderGap","Erwerbstaetig_Quote","Erwerbslos_Quote","Nichterwerb_Quote","Erwerbstaetig_GenderGap","Erwerbslos_GenderGap"
"09573","Fürth","BY",0,115.7,31.6,3.9,-4.4,54.1,4.5,43.4,-1.4,1.4
"09574","Nürnberger Land","BY",0,165.4,31.4,3.7,-4.1,53.8,6.3,42.5,-1.8,2.1
"09575","Neustadt a.d.Aisch-Bad Windsheim","BY",0,98.3,23.5,4.7,-0.1,55.8,6.7,40.2,-3.5,2.2
"09576","Roth","BY",0,125.1,26.7,3.5,-2.7,55.1,6.3,41.2,-2.7,2.5
"09577","Weißenburg-Gunzenhausen","BY",0,91.6,21.1,5.1,-1.1,54.5,7.4,41.2,-2.3,2.1
"09661","Aschaffenburg","BY",0,70.1,35.4,7.9,-5.6,52.5,8.1,42.9,-3.4,2.4
"09662","Schweinfurt","BY",0,51.9,31,10.8,-4.5,45.5,8.4,50.3,-4.9,3.5
"09663","Würzburg","BY",0,127,54.3,5.8,-3.5,56.7,6.7,39.2,-0.5,1.8
"09671","Aschaffenburg","BY",0,168.4,27.8,4.4,-2.7,53.3,6.1,43.2,-2.4,1.9
"09672","Bad Kissingen","BY",0,100.3,20.5,3.5,-3.5,51.4,7.1,44.6,-2.4,1.7
"09673","Rhön-Grabfeld","BY",0,77.4,21.6,3.5,-2.5,52.8,6.7,43.4,-3,2.8
"09674","Haßberge","BY",0,82,20.1,4.9,-1.5,54.1,6.9,42,-3.5,3.6
"09675","Kitzingen","BY",0,88.5,26.7,5,0.2,57,6.1,39.2,-3.8,2.5
"09676","Miltenberg","BY",0,124.8,22.2,6.4,-2.8,52.6,6.9,43.6,-3.8,2.2
"09677","Main-Spessart","BY",0,122.7,23,4.3,-1.3,53.6,5.5,43.3,-2.6,1.5
"09678","Schweinfurt","BY",0,111.7,22.6,3.3,-1,53.7,5.5,43.2,-3.3,1.4
"09679","Würzburg","BY",0,157.6,31.6,3.6,-2.6,54.3,6.1,42.2,-2.3,2.4
"09761","Augsburg","BY",0,288.3,41.4,9.1,-3.2,54.3,7.8,41.1,-4.6,2.5
"09762","Kaufbeuren","BY",0,43.9,25.3,6.6,-1.2,52.2,6.7,44,-3.5,2.1
"09763","Kempten (Allgäu)","BY",0,63,33.4,5.4,-4.2,54.5,5.5,42.4,-2.1,0.5
"09764","Memmingen","BY",0,42.1,31.3,9.2,-3.8,54.6,4.4,42.8,-3.8,1.6
"09771","Aichach-Friedberg","BY",0,132.1,28.9,4,-3.8,55.5,4.8,41.7,-3.3,1.5
"09772","Augsburg","BY",0,253.8,29.6,4.1,-2.4,53.2,5.7,43.5,-3.2,1.8
"09773","Dillingen a.d.Donau","BY",0,94.4,21.5,5.7,-2.6,55.3,6.4,40.9,-3.9,1.8
"09774","Günzburg","BY",0,124.5,25,6.1,-2.3,55.4,7.1,40.4,-4.8,2.7
"09775","Neu-Ulm","BY",0,175.7,33,5.5,-2.2,54.9,5.9,41.7,-3.5,2.3
"09776","Lindau (Bodensee)","BY",0,79.2,33.6,3.6,-2.1,55.6,5.8,41,-2.8,1.2
